# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,daypart,window,base_score,base_band
Woodward Core,Fine Dining,Mon,morning,06:00-11:00,0.0,Minimal
Woodward Core,Fine Dining,Mon,midday,11:00-16:00,2.7,Minimal
Woodward Core,Fine Dining,Mon,dinner,16:00-21:00,8.8,Minimal
Woodward Core,Fine Dining,Mon,late,21:00-02:00,0.6,Minimal
Woodward Core,Fine Dining,Tue,morning,06:00-11:00,0.0,Minimal
Woodward Core,Fine Dining,Tue,midday,11:00-16:00,6.3,Minimal
Woodward Core,Fine Dining,Tue,dinner,16:00-21:00,18.1,Minimal
Woodward Core,Fine Dining,Tue,late,21:00-02:00,1.3,Minimal
Woodward Core,Fine Dining,Wed,morning,06:00-11:00,0.0,Minimal
Woodward Core,Fine Dining,Wed,midday,11:00-16:00,12.3,Minimal
Woodward Core,Fine Dining,Wed,dinner,16:00-21:00,35.2,Light
Woodward Core,Fine Dining,Wed,late,21:00-02:00,2.5,Minimal
Woodward Core,Fine Dining,Thu,morning,06:00-11:00,0.0,Minimal
Woodward Core,Fine Dining,Thu,midday,11:00-16:00,22.5,Light
Woodward Core,Fine Dining,Thu,dinner,16:00-21:00,68.9,High
Woodward Core,Fine Dining,Thu,late,21:00-02:00,7.4,Minimal
Woodward Core,Fine Dining,Fri,morning,06:00-11:00,0.0,Minimal
Woodward Core,Fine Dining,Fri,midday,11:00-16:00,23.7,Light
Woodward Core,Fine Dining,Fri,dinner,16:00-21:00,92.6,Peak
Woodward Core,Fine Dining,Fri,late,21:00-02:00,17.4,Minimal
Woodward Core,Fine Dining,Sat,morning,06:00-11:00,0.0,Minimal
Woodward Core,Fine Dining,Sat,midday,11:00-16:00,25.7,Light
Woodward Core,Fine Dining,Sat,dinner,16:00-21:00,100.4,Peak
Woodward Core,Fine Dining,Sat,late,21:00-02:00,18.9,Minimal
Woodward Core,Fine Dining,Sun,morning,06:00-11:00,0.0,Minimal
Woodward Core,Fine Dining,Sun,midday,11:00-16:00,3.6,Minimal
Woodward Core,Fine Dining,Sun,dinner,16:00-21:00,11.9,Minimal
Woodward Core,Fine Dining,Sun,late,21:00-02:00,0.6,Minimal
Woodward Core,Upscale Casual,Mon,morning,06:00-11:00,0.9,Minimal
Woodward Core,Upscale Casual,Mon,midday,11:00-16:00,8.8,Minimal
Woodward Core,Upscale Casual,Mon,dinner,16:00-21:00,13.8,Minimal
Woodward Core,Upscale Casual,Mon,late,21:00-02:00,1.1,Minimal
Woodward Core,Upscale Casual,Tue,morning,06:00-11:00,1.4,Minimal
Woodward Core,Upscale Casual,Tue,midday,11:00-16:00,14.0,Minimal
Woodward Core,Upscale Casual,Tue,dinner,16:00-21:00,22.1,Light
Woodward Core,Upscale Casual,Tue,late,21:00-02:00,1.7,Minimal
Woodward Core,Upscale Casual,Wed,morning,06:00-11:00,2.2,Minimal
Woodward Core,Upscale Casual,Wed,midday,11:00-16:00,20.3,Light
Woodward Core,Upscale Casual,Wed,dinner,16:00-21:00,34.2,Light
Woodward Core,Upscale Casual,Wed,late,21:00-02:00,3.4,Minimal
Woodward Core,Upscale Casual,Thu,morning,06:00-11:00,3.4,Minimal
Woodward Core,Upscale Casual,Thu,midday,11:00-16:00,28.9,Light
Woodward Core,Upscale Casual,Thu,dinner,16:00-21:00,51.1,Moderate
Woodward Core,Upscale Casual,Thu,late,21:00-02:00,6.8,Minimal
Woodward Core,Upscale Casual,Fri,morning,06:00-11:00,4.5,Minimal
Woodward Core,Upscale Casual,Fri,midday,11:00-16:00,30.5,Light
Woodward Core,Upscale Casual,Fri,dinner,16:00-21:00,68.6,High
Woodward Core,Upscale Casual,Fri,late,21:00-02:00,13.7,Minimal
Woodward Core,Upscale Casual,Sat,morning,06:00-11:00,7.6,Minimal
Woodward Core,Upscale Casual,Sat,midday,11:00-16:00,43.9,Moderate
Woodward Core,Upscale Casual,Sat,dinner,16:00-21:00,63.2,Moderate
Woodward Core,Upscale Casual,Sat,late,21:00-02:00,11.3,Minimal
Woodward Core,Upscale Casual,Sun,morning,06:00-11:00,2.8,Minimal
Woodward Core,Upscale Casual,Sun,midday,11:00-16:00,18.5,Minimal
Woodward Core,Upscale Casual,Sun,dinner,16:00-21:00,24.8,Light
