# ForeShift Detroit - BASE DEMAND LAYER (v8)
# IMPORTANT: These are BASE scores only - BEFORE the event and weather layers.
# Final demand shown to an operator = base_score + event lift + weather adjustment,
# computed at query time in the application. Do NOT treat base_score as final demand.
# Event lift (additive) and weather (multiplicative) are applied in-app; this file is the fixed floor.
# Grain: one row per zone x concept x day x daypart. 13 zones x 9 concepts x 7 days x 4 dayparts = 3,276 rows.
# Bands: Exceptional 110-150, Peak 85-109, High 65-84, Moderate 40-64, Light 20-39, Minimal 0-19.
# Closed dayparts score 0 (Minimal) by design. CONFIDENTIAL - ForeShift LLC.
zone,concept,day,morning_base_score,morning_base_band,midday_base_score,midday_base_band,dinner_base_score,dinner_base_band,late_base_score,late_base_band
Woodward Core,Fine Dining,Mon,0.0,Minimal,2.7,Minimal,8.8,Minimal,0.6,Minimal
Woodward Core,Fine Dining,Tue,0.0,Minimal,6.3,Minimal,18.1,Minimal,1.3,Minimal
Woodward Core,Fine Dining,Wed,0.0,Minimal,12.3,Minimal,35.2,Light,2.5,Minimal
Woodward Core,Fine Dining,Thu,0.0,Minimal,22.5,Light,68.9,High,7.4,Minimal
Woodward Core,Fine Dining,Fri,0.0,Minimal,23.7,Light,92.6,Peak,17.4,Minimal
Woodward Core,Fine Dining,Sat,0.0,Minimal,25.7,Light,100.4,Peak,18.9,Minimal
Woodward Core,Fine Dining,Sun,0.0,Minimal,3.6,Minimal,11.9,Minimal,0.6,Minimal
Woodward Core,Upscale Casual,Mon,0.9,Minimal,8.8,Minimal,13.8,Minimal,1.1,Minimal
Woodward Core,Upscale Casual,Tue,1.4,Minimal,14.0,Minimal,22.1,Light,1.7,Minimal
Woodward Core,Upscale Casual,Wed,2.2,Minimal,20.3,Light,34.2,Light,3.4,Minimal
Woodward Core,Upscale Casual,Thu,3.4,Minimal,28.9,Light,51.1,Moderate,6.8,Minimal
Woodward Core,Upscale Casual,Fri,4.5,Minimal,30.5,Light,68.6,High,13.7,Minimal
Woodward Core,Upscale Casual,Sat,7.6,Minimal,43.9,Moderate,63.2,Moderate,11.3,Minimal
Woodward Core,Upscale Casual,Sun,2.8,Minimal,18.5,Minimal,24.8,Light,1.5,Minimal
Woodward Core,Casual Dining,Mon,2.6,Minimal,19.3,Minimal,21.5,Light,2.0,Minimal
Woodward Core,Casual Dining,Tue,3.1,Minimal,22.7,Light,25.2,Light,2.3,Minimal
Woodward Core,Casual Dining,Wed,3.8,Minimal,26.5,Light,31.8,Light,3.2,Minimal
Woodward Core,Casual Dining,Thu,4.9,Minimal,32.3,Light,41.1,Moderate,5.2,Minimal
Woodward Core,Casual Dining,Fri,6.4,Minimal,36.8,Light,53.0,Moderate,9.4,Minimal
Woodward Core,Casual Dining,Sat,6.3,Minimal,42.4,Moderate,49.0,Moderate,8.0,Minimal
Woodward Core,Casual Dining,Sun,3.8,Minimal,29.5,Light,31.2,Light,2.0,Minimal
Woodward Core,Fast Casual,Mon,8.4,Minimal,53.3,Moderate,17.8,Minimal,0.0,Minimal
Woodward Core,Fast Casual,Tue,9.6,Minimal,61.2,Moderate,20.4,Light,0.0,Minimal
Woodward Core,Fast Casual,Wed,10.5,Minimal,66.7,High,22.3,Light,0.0,Minimal
Woodward Core,Fast Casual,Thu,10.7,Minimal,63.4,Moderate,26.6,Light,0.0,Minimal
